SEA.CODE,Pop70Less5Yrs,Pop70,PopAtRisk82
1,51094,645955,53940
2,4399,45436,3451
3,14815,168203,13339
4,29129,318498,28102
5,17959,186939,17089
6,24585,265240,30865
7,17675,216213,32528
8,34857,401878,49146
9,16142,184298,19101
10,20662,238338,28492
11,17366,178625,9066
12,6026,59383,4682
13,8137,94504,12701
14,29710,334313,34247
15,85684,982260,176920
16,29109,357383,63128
17,23704,224282,39625
18,22782,235606,39045
19,25035,288743,27719
20,10279,128873,22072
21,15242,191034,29294
22,9631,132510,22235
23,12414,167055,29999
24,10089,122199,13836
25,14223,182745,19859
26,24158,301249,38144
27,32548,333917,22568
28,7923,118400,29957
29,245809,3284507,334141
30,97908,1072345,114015
31,51217,638254,79809
32,23741,292085,37969
33,35537,415599,51402
34,711082,8488140,875588
35,107880,1364665,191824
36,97097,1145544,178650
37,28927,331430,42517
38,20692,265439,33082
39,13597,185540,30614
40,21554,286051,50824
41,38081,498223,69910
42,19114,249291,42496
43,26587,300853,42484
44,26915,297910,40450
45,36558,381931,52339
46,7225,74588,9895
47,33878,473411,94166
48,95884,1106346,130970
49,21172,238806,26002
50,9714,118742,15207
51,11255,133670,14708
52,8146,97659,13959
53,12663,163749,27351
54,18268,224162,30364
55,3427,47557,8336
56,7371,97649,14481
57,62611,792801,100375
58,61632,747360,92154
59,67592,818201,98071
60,11995,144283,20499
61,48142,535390,63472
62,33873,387610,39509
63,14647,163899,20228
64,59050,755466,21459
65,45567,530297,47787
66,68194,1024422,211866
67,86844,1279241,211537
68,21618,244689,27268
69,35265,433719,69707
70,25508,353500,106614
71,41822,629713,169270
72,20145,227012,31200
73,14399,168256,32800
74,32579,390035,40496
75,37958,493562,117809
76,43509,587079,190552
77,31783,503935,186588
78,4399,50990,6446
79,128710,1397628,118653
80,17211,192744,12414
81,13425,162061,11685
82,16522,186701,15008
83,12485,143855,11194
84,6118,63504,6024
85,26900,288911,34718
86,7288,93111,15433
87,29713,314961,42251
88,53069,589865,62149
89,5279,56215,4398
90,13210,144610,13384
91,39012,403134,32569
92,31071,330850,32152
93,18361,192339,19548
94,9681,109638,16286
